plate_uid,proper_name,plate_name,screw_sizes,set_category,size_range,drawer_locations,stock_locations,total_drawer_units,total_stock_units,total_units,out_drawer_units,out_stock_units,out_units,available_drawer_units,available_stock_units,available_units,availability,range_status,out_case_details
DMH,VA 2.7/3.5mm Distal Medial Humeral Plates,VA 2.7/3.5mm Distal Medial Humeral Plates,"2.7mm, 3.5mm",2.7-4.0,STANDARD,"D1, D2",,2,0,2,1,0,1,1,0,1,1/2,PARTIAL,"[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DMT,VA 2.7/3.5mm Distal Medial Tibia Plates II,VA 2.7/3.5mm Distal Medial Tibia Plates II,"2.7mm, 3.5mm",2.7-4.0,STANDARD,"D1, D2",,2,0,2,2,0,2,0,0,0,0/2,OUT OF STOCK,"[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DMT,VA 2.7/3.5mm Distal Medial Tibia Plates II,VA 2.7/3.5mm Distal Medial Tibia Plates II,"2.7mm, 3.5mm",2.7-4.0,LONG,D1,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DPLH,VA 2.7/3.5mm Distal Posterior/Lateral Humeral Plates,VA 2.7/3.5mm Distal Posterior/Lateral Humeral Plates,"2.7mm, 3.5mm",2.7-4.0,STANDARD,"D1, D2",,2,0,2,1,0,1,1,0,1,1/2,PARTIAL,"[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DPT,VA 3.5mm T-Type Distal Posterior Tibia Plates,VA 3.5mm T-Type Distal Posterior Tibia Plates,3.5mm,2.7-4.0,STANDARD,D3,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DRVB,VA 2.4mm Distal Radius Volar Plates 9 holes head,VA 2.4mm Distal Radius Volar Plates 9 holes head,2.4mm,"2.4-2.7, 2.7-4.0",STANDARD,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DRVL,2.4 DISTAL RADIUS VOLAR PLATES LONG,2.4 DISTAL RADIUS VOLAR PLATES LONG,"2.4mm, 3.5mm","2.4-2.7, 2.7-4.0",STANDARD,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DRVN,VA 2.4mm Distal Radius Volar Plates 8 holes head,VA 2.4mm Distal Radius Volar Plates 8 holes head,2.4mm,"2.4-2.7, 2.7-4.0",STANDARD,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DRVN,VA 2.4mm Distal Radius Volar Plates 8 holes head,VA 2.4mm Distal Radius Volar Plates 8 holes head,2.4mm,"2.4-2.7, 2.7-4.0",LONG,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DRVN,VA 2.4mm Distal Radius Volar Plates 8 holes head,VA 2.4mm Distal Radius Volar Plates 8 holes head,2.4mm,"2.4-2.7, 2.7-4.0",SMALL,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DRVRB,VA 2.4mm Distal Radius Volar Plates III 7 holes head,VA 2.4mm Distal Radius Volar Plates III 7 holes head,2.4mm,"2.4-2.7, 2.7-4.0",STANDARD,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DRVRB,VA 2.4mm Distal Radius Volar Plates III 7 holes head,VA 2.4mm Distal Radius Volar Plates III 7 holes head,2.4mm,"2.4-2.7, 2.7-4.0",LONG,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DRVRN,VA 2.4mm Distal Radius Volar Plates III 6 holes head,VA 2.4mm Distal Radius Volar Plates III 6 holes head,2.4mm,"2.4-2.7, 2.7-4.0",STANDARD,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",2.7-4.0,SHORT,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",2.7-4.0,LONG,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
